event,time_sec,x_joint_mm,y_joint_mm,z_joint_mm,x_encoder_mm,y_encoder_mm,z_encoder_mm,x_error_mm,y_error_mm,z_error_mm,euclidean_error_mm,q1_mae_deg,q2_mae_deg,q3_mae_deg,q1_rmse_deg,q2_rmse_deg,q3_rmse_deg,x_mae_mm,y_mae_mm,z_mae_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,euclidean_mae_mm,euclidean_rmse_mm
PICK,1.525580767,0.0,-60.000004341163304,-320.00000318623495,3.620782410965884,-59.59719675800157,-317.71820729242825,3.620782410965884,0.4028075831617315,2.2817958938067022,4.298710471479284,0.38230783009554087,0.4395206006369413,0.18379817707006313,0.6736644343803273,0.7202635411130646,0.32791750214278065,2.623662937120262,0.4460424217283432,2.3856054869345087,2.8067515837246253,0.44813289685891855,2.3878630553106257,3.6561916001306844,3.7122186784866615
PLACE,3.755129463,0.0,59.99999637375772,-320.00000265925195,1.6265434632746405,59.51071911346276,-317.51058757918963,1.6265434632746405,-0.4892772602949549,2.489415080062315,3.0136727287820855,0.38230783009554087,0.4395206006369413,0.18379817707006313,0.6736644343803273,0.7202635411130646,0.32791750214278065,2.623662937120262,0.4460424217283432,2.3856054869345087,2.8067515837246253,0.44813289685891855,2.3878630553106257,3.6561916001306844,3.7122186784866615
