timestamp_ns,state,error_code,q1,q2,q3,encoder1,encoder2,encoder3,motors_enabled,vacuum_on,trajectory_id,trajectory_progress
1780424914134121685,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914234343050,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914334132779,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914434579296,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914534857625,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914635078303,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914735274968,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914835489169,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424914934890120,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915035083044,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915135206754,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915236739708,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915335278756,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915435980566,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915536070375,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915636568307,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915736649162,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915836539110,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424915936140622,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916037314782,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916138473218,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916236760880,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916337600231,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916438101859,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916538912279,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916638136999,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916737600607,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916837631946,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424916937781890,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424917037881058,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424917139381304,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424917238593336,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424917339552117,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424917439484365,0,0,-15.187499,-15.187499,-15.187499,3875.0,2751.0,3393.0,True,False,49,1.0
1780424917538973382,2,0,-14.4,-13.499999,-13.162499,3878.0,2763.0,3408.0,True,False,50,0.33000001311302185
1780424917639249019,2,0,-11.7,-6.6375,-4.6124997,3908.0,2841.0,3505.0,True,False,50,0.33000001311302185
1780424917739753768,2,0,-8.8875,0.1125,3.8249998,3939.0,2919.0,3601.0,True,False,50,0.33000001311302185
1780424917839906741,2,0,-6.1874995,6.8624997,12.374999,3969.0,2994.0,3697.0,True,False,50,0.33000001311302185
1780424917940360733,2,0,-3.3749998,13.612499,20.812498,3998.0,3069.0,3793.0,True,False,50,0.33000001311302185
1780424918040455043,2,0,-0.67499995,20.3625,29.3625,4028.0,3143.0,3889.0,True,False,50,0.33000001311302185
1780424918140692487,2,0,2.0249999,27.1125,37.8,4059.0,3217.0,3985.0,True,False,50,0.33000001311302185
1780424918242554417,2,0,5.7374997,30.262499,40.837498,3.0,3254.0,4024.0,True,False,50,0.6600000262260437
1780424918341882434,2,0,9.5625,33.637497,43.874996,46.0,3290.0,4056.0,True,False,50,0.6600000262260437
1780424918441858498,2,0,13.049999,36.449997,46.574997,89.0,3324.0,4091.0,True,False,50,1.0
1780424918543136679,2,0,17.099998,40.05,50.062496,130.0,3359.0,32.0,True,False,50,1.0
1780424918644307886,2,0,20.925,43.5375,53.324997,172.0,3396.0,69.0,True,False,50,1.0
1780424918744223333,0,0,23.7375,46.124996,55.687496,211.0,3430.0,101.0,True,False,50,1.0
1780424918843761348,0,0,23.7375,46.124996,55.687496,210.0,3429.0,100.0,True,False,50,1.0
1780424918944301175,0,0,23.7375,46.124996,55.687496,209.0,3428.0,100.0,True,False,50,1.0
1780424919045275517,0,0,23.7375,46.124996,55.687496,209.0,3428.0,100.0,True,False,50,1.0
1780424919143664895,2,0,18.675,41.7375,51.524998,156.0,3384.0,55.0,True,False,51,0.33000001311302185
1780424919244967150,2,0,13.275,36.899998,47.024998,95.0,3333.0,7.0,True,False,51,0.33000001311302185
1780424919344743732,2,0,7.8749995,32.175,42.524998,36.0,3283.0,4051.0,True,False,51,0.33000001311302185
1780424919445308590,2,0,2.3625,27.449999,38.137497,4072.0,3230.0,4000.0,True,False,51,0.33000001311302185
1780424919545537362,2,0,-1.5749999,24.187498,35.324997,4027.0,3193.0,3966.0,True,False,51,0.6600000262260437
1780424919645904558,2,0,-5.5125,21.037498,32.399998,3983.0,3157.0,3933.0,True,False,51,0.6600000262260437
1780424919746351756,2,0,-9.5625,17.887499,29.587498,3939.0,3124.0,3901.0,True,False,51,0.6600000262260437
1780424919847519548,2,0,-6.2999997,20.5875,31.949999,3967.0,3148.0,3922.0,True,False,51,1.0
1780424919947599864,2,0,-2.3625,23.7375,34.875,4011.0,3181.0,3953.0,True,False,51,1.0
1780424920048042088,2,0,1.6874999,26.887499,37.6875,4053.0,3215.0,3986.0,True,False,51,1.0
1780424920148308837,2,0,6.2999997,26.099998,34.425,4.0,3212.0,3958.0,True,False,52,0.33000001311302185
1780424920248450225,2,0,13.612499,24.525,28.574999,86.0,3195.0,3893.0,True,False,52,0.33000001311302185
1780424920348669857,2,0,21.037498,22.949999,22.8375,171.0,3178.0,3826.0,True,False,52,0.33000001311302185
1780424920449465351,2,0,28.349998,21.374998,16.9875,255.0,3162.0,3760.0,True,False,52,0.33000001311302185
