event,time_sec,x_joint_mm,y_joint_mm,z_joint_mm,x_encoder_mm,y_encoder_mm,z_encoder_mm,x_error_mm,y_error_mm,z_error_mm,euclidean_error_mm,q1_mae_deg,q2_mae_deg,q3_mae_deg,q1_rmse_deg,q2_rmse_deg,q3_rmse_deg,x_mae_mm,y_mae_mm,z_mae_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,euclidean_mae_mm,euclidean_rmse_mm
PICK,1.540207385,19.99999628937944,-60.00000448584496,-320.0000006748872,22.996973469095753,-59.89750150596982,-317.56872329311835,2.996977179716314,0.10250297987514045,2.4312773817688367,3.8605036955978123,0.4470254076923071,0.509522341730768,0.23227489480769192,0.7094719770701342,0.7479689512026083,0.3790845738564171,2.305314013717764,0.08942217981995171,2.3329966807508526,2.406838307207745,0.09037385448145722,2.335065868147424,3.308987915242813,3.3546342094487085
PLACE,3.719125228,-20.000001465572097,60.000003693838934,-319.9999984725249,-18.386350617852884,59.92366231407417,-317.76528249279204,1.6136508477192137,-0.07634137976476296,2.2347159797328686,2.757472134887814,0.4470254076923071,0.509522341730768,0.23227489480769192,0.7094719770701342,0.7479689512026083,0.3790845738564171,2.305314013717764,0.08942217981995171,2.3329966807508526,2.406838307207745,0.09037385448145722,2.335065868147424,3.308987915242813,3.3546342094487085
