timestamp_ns,trajectory_id,point_index,q1,q2,q3,time_ms,vacuum,servo_angle
1780424755741589302,25,0,-15.145632,-15.145632,-15.145632,0,0,0
1780424755741589302,25,1,16.16445,8.48837,42.195427,653,0,0
1780424755741589302,25,2,26.204384,19.043188,50.543877,932,0,0
1780424755741589302,25,3,36.30135,29.467651,59.579323,1209,0,0
1780424757309452908,26,0,36.30135,29.467651,59.579323,0,1,0
1780424757309452908,26,1,16.16445,8.48837,42.195427,392,1,0
1780424757309452908,26,2,5.7064896,-2.7214553,34.147552,679,1,0
1780424757309452908,26,3,16.16445,8.48837,42.195427,966,1,0
1780424758321855009,27,0,16.16445,8.48837,42.195427,0,1,0
1780424758321855009,27,1,29.48623,36.31847,1.368806,547,1,0
1780424758321855009,27,2,38.640106,45.03273,12.39372,832,1,0
1780424758321855009,27,3,48.17848,54.296192,23.118952,1113,1,0
1780424759479173407,28,0,48.17848,54.296192,23.118952,0,0,0
1780424759479173407,28,1,29.48623,36.31847,1.368806,399,0,0
1780424759479173407,28,2,27.208479,34.17749,-1.4975948,544,0,0
1780424759479173407,28,3,36.332996,42.82016,9.685638,831,0,0
1780424760354802046,29,0,36.332996,42.82016,9.685638,0,0,0
1780424760354802046,29,1,18.976185,18.976185,18.976185,418,0,0
1780424760354802046,29,2,-33.021183,-33.021183,-33.021183,1038,0,0
1780424760354802046,29,3,-15.145632,-15.145632,-15.145632,1400,0,0
