run,q1_mae_deg,q2_mae_deg,q3_mae_deg,q1_rmse_deg,q2_rmse_deg,q3_rmse_deg,x_mae_mm,y_mae_mm,z_mae_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,euclidean_mae_mm,euclidean_rmse_mm
1,0.49438803830935185,0.587691238489208,0.20661305363309296,0.79249228140094,1.0498461443663,0.32713672169701724,3.229726081353661,1.213744896161457,2.3152748376314776,3.978513938068255,1.2248587336741015,2.368101777432613,4.330864607806504,4.789233560930246
10,0.4470254076923071,0.509522341730768,0.23227489480769192,0.7094719770701342,0.7479689512026083,0.3790845738564171,2.305314013717764,0.08942217981995171,2.3329966807508526,2.406838307207745,0.09037385448145722,2.335065868147424,3.308987915242813,3.3546342094487085
11,0.6346194306074756,0.6546619189252328,0.2559837119158876,0.8893862495075726,1.0257124092562395,0.38447637694321707,3.098199133297186,0.9561399926181267,2.168940591228818,3.9581276067713045,0.9808112386151018,2.364660829110943,4.114216577357703,4.713850408531276
12,0.6989992145408157,0.7582267585714281,0.27163595714285693,0.9395340939690519,1.175314994310823,0.3886325503878231,3.1088114297888865,1.1260942921134216,0.9832096576807032,4.072379053288184,1.1407273525998491,0.9837707027331956,3.8089192826537657,4.342042703864852
13,0.6276067024038456,0.5656439088942294,0.26509191394230697,0.9020659447479348,0.8243942678463763,0.40165925123816465,2.5097325627461515,0.5816795627142872,2.79332771346148,2.7783114640605993,0.6069293999046452,2.969767460561425,4.111760889234731,4.111799685977981
14,0.6726427671022723,0.6322531448863628,0.29375444460227235,0.9211621143268427,0.8582251269378155,0.41826069679514566,2.582413891006576,0.1491085037624913,2.2919160485210455,2.618093488717702,0.17253145822752486,2.3570493443247074,3.460417530728627,3.5270188872935844
15,0.5238866740833328,0.5483496985416655,0.2466798791666661,0.7938686109535943,0.7913578098341159,0.3786053569007237,2.6225989742632247,0.2261116874598379,1.7908780972348666,2.650036979075073,0.31229992660098815,1.8124082553887058,3.1890959344966103,3.225686115979274
2,0.43876364477848007,0.49817322104430245,0.19271453927215146,0.7459146043489406,0.8669841992169934,0.33964901556294336,2.8144875752935334,0.9173847412631932,1.385963803986158,3.4675333770166508,0.9193386231172506,1.3869565402443995,3.4828584456695197,3.846117479901821
3,0.7126729917613632,0.7365231193181813,0.31620662244318126,0.9386375885115384,1.0395371952177244,0.41937842345623527,2.5262870898728487,0.6328061251521326,1.9679974900919888,2.9963835183086793,0.6954458471078886,1.9682881758859214,3.443556307777728,3.6518649288252485
4,0.38230783009554087,0.4395206006369413,0.18379817707006313,0.6736644343803273,0.7202635411130646,0.32791750214278065,2.623662937120262,0.4460424217283432,2.3856054869345087,2.8067515837246253,0.44813289685891855,2.3878630553106257,3.6561916001306844,3.7122186784866615
5,0.4604739050347213,0.47087430434027655,0.19763215149305516,0.7501125499635901,0.7689556306344593,0.3313755438921865,3.0351936346210877,0.8205294430685051,2.670056611526718,3.401687252839981,0.8235612761930065,2.7669560532463406,4.177768720230324,4.461588858509403
6,0.5570999919999993,0.6171751631999989,0.22789705899999932,0.8352378738382888,1.0264971217272183,0.3598345538438251,3.229271646384035,0.786168959915876,2.2792430508660857,3.920186104477149,0.791192291635323,2.6811565512529936,4.744531353680721,4.814815135434145
7,0.5443681781496057,0.6380721696850382,0.2234225826377948,0.8282519366310687,1.0347518298056229,0.35624663379339155,3.365736561503873,1.2096006196684197,1.4622551448810839,3.8730520185106942,1.2290166839208345,1.496488932695375,4.04540874366341,4.33018395372821
8,0.6585224660606052,0.7089130098484842,0.27265635262626203,0.9030775191392107,0.9892058576818307,0.38874611541366405,3.051310895101885,0.7397024725061101,1.8766658775704173,3.2580010552749017,0.8190019731351255,1.8766728136357302,3.712796388468355,3.8480171462210313
9,0.6318535949999994,0.6436078484848476,0.3048298020202015,0.87986895293098,0.8677447819337419,0.43444104346306744,2.534126061126493,0.17798148478143716,1.7650705066158139,2.5508803522894015,0.2442590578083074,1.7830711819592315,3.0970894028090745,3.1218577640486753
