timestamp_ns,trajectory_id,point_index,q1,q2,q3,time_ms,vacuum,servo_angle
1780424948076482117,55,0,-15.145632,-15.145632,-15.145632,0,0,0
1780424948076482117,55,1,36.894344,-0.98392236,34.43161,619,0,0
1780424948076482117,55,2,45.647972,10.203659,43.338177,906,0,0
1780424948076482117,55,3,54.99126,21.05978,52.774387,1189,0,0
1780424949637539829,56,0,54.99126,21.05978,52.774387,0,1,0
1780424949637539829,56,1,36.894344,-0.98392236,34.43161,402,1,0
1780424949637539829,56,2,28.323643,-13.090336,25.643934,700,1,0
1780424949637539829,56,3,36.894344,-0.98392236,34.43161,998,1,0
1780424950681812450,57,0,36.894344,-0.98392236,34.43161,0,1,0
1780424950681812450,57,1,10.400944,46.14683,13.223729,588,1,0
1780424950681812450,57,2,20.861008,54.344612,23.499609,865,1,0
1780424950681812450,57,3,31.257753,63.352074,33.78094,1142,1,0
1780424951868660252,58,0,31.257753,63.352074,33.78094,0,0,0
1780424951868660252,58,1,10.400944,46.14683,13.223729,391,0,0
1780424951868660252,58,2,7.718232,44.173042,10.599233,531,0,0
1780424951868660252,58,3,18.270891,52.238438,20.94882,810,0,0
1780424952757361006,59,0,18.270891,52.238438,20.94882,0,0,0
1780424952757361006,59,1,18.976185,18.976185,18.976185,494,0,0
1780424952757361006,59,2,-33.021183,-33.021183,-33.021183,1114,0,0
1780424952757361006,59,3,-15.145632,-15.145632,-15.145632,1476,0,0
