timestamp_ns,trajectory_id,point_index,q1,q2,q3,time_ms,vacuum,servo_angle
1780424677708477922,15,0,-15.145632,-15.145632,-15.145632,0,0,0
1780424677708477922,15,1,8.368781,39.315445,17.201128,635,0,0
1780424677708477922,15,2,18.912184,47.78978,27.141457,913,0,0
1780424677708477922,15,3,29.308712,56.866238,37.1509,1190,0,0
1780424679275778991,16,0,29.308712,56.866238,37.1509,0,1,0
1780424679275778991,16,1,8.368781,39.315445,17.201128,392,1,0
1780424679275778991,16,2,-2.8479416,31.063286,6.8633986,679,1,0
1780424679275778991,16,3,8.368781,39.315445,17.201128,966,1,0
1780424680294242132,17,0,8.368781,39.315445,17.201128,0,1,0
1780424680294242132,17,1,34.94686,3.1676383,26.97219,515,1,0
1780424680294242132,17,2,43.70029,14.062313,36.250656,798,1,0
1780424680294242132,17,3,52.953754,24.685272,45.837685,1077,1,0
1780424681446534081,18,0,52.953754,24.685272,45.837685,0,0,0
1780424681446534081,18,1,34.94686,3.1676383,26.97219,397,0,0
1780424681446534081,18,2,32.78934,0.33916488,24.651524,541,0,0
1780424681446534081,18,3,41.482067,11.383907,33.91926,826,0,0
1780424682347985573,19,0,41.482067,11.383907,33.91926,0,0,0
1780424682347985573,19,1,18.976185,18.976185,18.976185,406,0,0
1780424682347985573,19,2,-33.021183,-33.021183,-33.021183,1026,0,0
1780424682347985573,19,3,-15.145632,-15.145632,-15.145632,1388,0,0
