timestamp_ns,trajectory_id,point_index,q1,q2,q3,time_ms,vacuum,servo_angle
1780425006033760527,65,0,-15.145632,-15.145632,-15.145632,0,0,0
1780425006033760527,65,1,20.56302,31.749874,8.636365,587,0,0
1780425006033760527,65,2,30.207644,40.623135,19.122412,864,0,0
1780425006033760527,65,3,39.977795,49.89077,29.441517,1140,0,0
1780425007547473927,66,0,39.977795,49.89077,29.441517,0,1,0
1780425007547473927,66,1,20.56302,31.749874,8.636365,390,1,0
1780425007547473927,66,2,10.603786,22.886444,-2.5431209,677,1,0
1780425007547473927,66,3,20.56302,31.749874,8.636365,964,1,0
1780425008558127780,67,0,20.56302,31.749874,8.636365,0,1,0
1780425008558127780,67,1,20.56302,8.636365,31.749874,412,1,0
1780425008558127780,67,2,30.207644,19.122412,40.623135,689,1,0
1780425008558127780,67,3,39.977795,29.441517,49.89077,965,1,0
1780425009568035074,68,0,39.977795,29.441517,49.89077,0,0,0
1780425009568035074,68,1,20.56302,8.636365,31.749874,390,0,0
1780425009568035074,68,2,18.12066,5.930224,29.54707,531,0,0
1780425009568035074,68,3,27.801842,16.535374,38.384132,811,0,0
1780425010421999819,69,0,27.801842,16.535374,38.384132,0,0,0
1780425010421999819,69,1,18.976185,18.976185,18.976185,377,0,0
1780425010421999819,69,2,-33.021183,-33.021183,-33.021183,997,0,0
1780425010421999819,69,3,-15.145632,-15.145632,-15.145632,1359,0,0
